Name	Classification	Specific_Tissue	Specific_Sex
Transcript_246815.0	Tissue Specific	Gonad	
Transcript_54420.0	Tissue Specific	Brain	
Transcript_208038.0	Tissue Specific	Brain	
Transcript_33186.0	Tissue Specific	Skin	
Transcript_17182.0	Others		
Transcript_258037.0	Tissue Specific	Gonad	
Transcript_185613.0	Others		
Transcript_69998.0	Tissue Specific	Gonad	Female
Transcript_228297.0	Others		
Transcript_34197.0	Others		
Transcript_171876.0	Others		
Transcript_63606.0	Others		
Transcript_17199.0	Expressed in All		
Transcript_196191.0	Tissue Specific	Skin	
Transcript_260093.0	Others		
Transcript_155505.0	Others		
Transcript_172034.0	Others		
Transcript_79696.0	Others		
Transcript_81974.0	Others		
Transcript_101034.0	Others		
Transcript_66731.0	Others		
Transcript_172040.0	Others		
Transcript_95655.0	Tissue Specific	Brain	
Transcript_255221.0	Others		
Transcript_197596.0	Others		
Transcript_200210.0	Others		
Transcript_27791.0	Tissue Specific	Gonad	Female
Transcript_82736.0	Others		
Transcript_209744.0	Others		
Transcript_255622.0	Tissue Specific	Lung	
Transcript_74904.0	Others		
Transcript_102550.0	Tissue Specific	Gonad	
Transcript_13840.0	Others		
Transcript_188784.0	Others		
Transcript_78877.0	Others		
Transcript_249677.0	Tissue Specific	Gonad	Female
Transcript_172125.0	Others		
Transcript_101236.0	Others		
Transcript_172210.0	Tissue Specific	Skin	
Transcript_233186.0	Tissue Specific	Muscle	
Transcript_172239.0	Others		
Transcript_208083.0	Others		
Transcript_147697.0	Others		
Transcript_242755.0	Others		
Transcript_64665.0	Others		
Transcript_24852.0	Others		
Transcript_66922.0	Tissue Specific	Brain	Female
Transcript_79441.0	Tissue Specific	Gonad	Female
Transcript_190588.0	Others		
Transcript_230993.0	Others		
Transcript_87172.0	Others		
Transcript_271507.0	Tissue Specific	Brain	Female
Transcript_143314.0	Others		
Transcript_89840.0	Tissue Specific	Brain	
Transcript_190770.0	Tissue Specific	Skin	
Transcript_210690.0	Others		
Transcript_250142.0	Tissue Specific	Gonad	Female
Transcript_77215.0	Others		
Transcript_17224.0	Others		
Transcript_20703.0	Others		
Transcript_237268.0	Others		
Transcript_172284.0	Others		
Transcript_29675.0	Tissue Specific	Skin	
Transcript_17229.0	Others		
Transcript_172299.0	Tissue Specific	Liver	
Transcript_172305.0	Others		
Transcript_66992.0	Others		
Transcript_223287.0	Others		
Transcript_17231.0	Others		
Transcript_17233.0	Others		
Transcript_172330.0	Others		
Transcript_172356.0	Others		
Transcript_21913.0	Others		
Transcript_17238.0	Tissue Specific	Brain	
Transcript_274290.0	Others		
Transcript_72590.0	Others		
Transcript_172418.0	Others		
Transcript_17245.0	Others		
Transcript_33927.0	Others		
Transcript_32547.0	Others		
Transcript_99407.0	Others		
Transcript_260915.0	Others		
Transcript_166619.0	Others		
Transcript_172483.0	Tissue Specific	Brain	Female
Transcript_90426.0	Others		
Transcript_52464.0	Others		
Transcript_273990.0	Tissue Specific	Gonad	Female
Transcript_27156.0	Others		
Transcript_93827.0	Tissue Specific	Brain	Male
Transcript_261775.0	Others		
Transcript_151646.0	Others		
Transcript_42811.0	Tissue Specific	Brain	Male
Transcript_75665.0	Others		
Transcript_227758.0	Tissue Specific	Lung	
Transcript_181619.0	Others		
Transcript_170076.0	Others		
Transcript_87662.0	Tissue Specific	Brain	
Transcript_101245.0	Tissue Specific	Muscle	
Transcript_179293.0	Others		
Transcript_198618.0	Others		
Transcript_14064.0	Others		
Transcript_189695.0	Others		
Transcript_168496.0	Others		
Transcript_199161.0	Others		
Transcript_172644.0	Others		
Transcript_37963.0	Tissue Specific	Gonad	Female
Transcript_41939.0	Tissue Specific	Muscle	
Transcript_199129.0	Others		
Transcript_172673.0	Tissue Specific	Brain	Male
Transcript_257736.0	Others		
Transcript_153730.0	Tissue Specific	Brain	Male
Transcript_83382.0	Tissue Specific	Brain	Male
Transcript_88102.0	Tissue Specific	Liver	
Transcript_89148.0	Others		
Transcript_123279.0	Others		
Transcript_172688.0	Tissue Specific	Gonad	Female
Transcript_51057.0	Others		
Transcript_172732.0	Tissue Specific	Lung	
Transcript_268024.0	Others		
Transcript_51578.0	Tissue Specific	Muscle	
Transcript_272200.0	Others		
Transcript_256297.0	Tissue Specific	Brain	
Transcript_20458.0	Others		
Transcript_79199.0	Others		
Transcript_84299.0	Others		
Transcript_120073.0	Tissue Specific	Liver	
Transcript_198080.0	Others		
Transcript_172794.0	Others		
Transcript_45090.0	Tissue Specific	Kidney	
Transcript_58280.0	Tissue Specific	Heart	
Transcript_61589.0	Others		
Transcript_240776.0	Tissue Specific	Brain	Male
Transcript_74902.0	Others		
Transcript_27388.0	Tissue Specific	Liver	
Transcript_4444.0	Others		
Transcript_189139.0	Others		
Transcript_55276.0	Others		
Transcript_202729.0	Others		
Transcript_61727.0	Others		
Transcript_46120.0	Tissue Specific	Gonad	Female
Transcript_71998.0	Others		
Transcript_87463.0	Tissue Specific	Brain	
Transcript_172840.0	Others		
Transcript_71098.0	Others		
Transcript_143024.0	Others		
Transcript_172845.0	Tissue Specific	Lung	
Transcript_291582.0	Others		
Transcript_46902.0	Others		
Transcript_60667.0	Tissue Specific	Gonad	Female
Transcript_161939.0	Tissue Specific	Gonad	Female
Transcript_153946.0	Others		
Transcript_188877.0	Others		
Transcript_274194.0	Others		
Transcript_142211.0	Others		
Transcript_60013.0	Others		
Transcript_61973.0	Others		
Transcript_198965.0	Others		
Transcript_32303.0	Tissue Specific	Skin	
Transcript_148016.0	Tissue Specific	Brain	Male
Transcript_172926.0	Tissue Specific	Muscle	
Transcript_81994.0	Tissue Specific	Brain	
Transcript_169527.0	Others		
Transcript_272653.0	Tissue Specific	Brain	
Transcript_74173.0	Others		
Transcript_205977.0	Others		
Transcript_172970.0	Others		
Transcript_172996.0	Others		
Transcript_206428.0	Others		
Transcript_140480.0	Others		
Transcript_101197.0	Tissue Specific	Brain	Male
Transcript_101625.0	Others		
Transcript_1731.0	Others		
Transcript_144707.0	Others		
Transcript_170738.0	Tissue Specific	Gonad	Female
Transcript_173152.0	Tissue Specific	Skin	
Transcript_208563.0	Tissue Specific	Brain	
Transcript_102349.0	Others		
Transcript_173220.0	Tissue Specific	Brain	Female
Transcript_204613.0	Others		
Transcript_266411.0	Others		
Transcript_225852.0	Others		
Transcript_267139.0	Tissue Specific	Kidney	Male
Transcript_173223.0	Others		
Transcript_173277.0	Others		
Transcript_168837.0	Tissue Specific	Muscle	
Transcript_100686.0	Tissue Specific	Muscle	
Transcript_173304.0	Others		
Transcript_21780.0	Others		
Transcript_198251.0	Others		
Transcript_72966.0	Others		
Transcript_17331.0	Others		
Transcript_60372.0	Others		
Transcript_145801.0	Others		
Transcript_263277.0	Others		
Transcript_173326.0	Tissue Specific	Brain	Male
Transcript_274161.0	Others		
Transcript_75157.0	Others		
Transcript_124711.0	Others		
Transcript_141349.0	Tissue Specific	Brain	
Transcript_173347.0	Others		
Transcript_26491.0	Tissue Specific	Gonad	
Transcript_250432.0	Others		
Transcript_173424.0	Others		
Transcript_252400.0	Others		
Transcript_159444.0	Others		
Transcript_188377.0	Others		
Transcript_142964.0	Others		
Transcript_31580.0	Others		
Transcript_131483.0	Others		
Transcript_21361.0	Tissue Specific	Brain	
Transcript_17347.0	Others		
Transcript_194401.0	Others		
Transcript_158642.0	Others		
Transcript_160285.0	Others		
Transcript_21159.0	Others		
Transcript_21497.0	Others		
Transcript_239576.0	Others		
Transcript_173538.0	Tissue Specific	Kidney	
Transcript_199738.0	Tissue Specific	Gonad	Female
Transcript_173556.0	Others		
Transcript_255671.0	Tissue Specific	Muscle	
Transcript_269871.0	Tissue Specific	Brain	Male
Transcript_148918.0	Others		
Transcript_226171.0	Others		
Transcript_278895.0	Others		
Transcript_173661.0	Others		
Transcript_173746.0	Tissue Specific	Heart	
Transcript_241036.0	Others		
Transcript_216891.0	Others		
Transcript_244414.0	Tissue Specific	Kidney	
Transcript_100529.0	Tissue Specific	Brain	
Transcript_70336.0	Tissue Specific	Gonad	Female
Transcript_258012.0	Others		
Transcript_234932.0	Others		
Transcript_67203.0	Others		
Transcript_191877.0	Others		
Transcript_56565.0	Others		
Transcript_77111.0	Others		
Transcript_255660.0	Others		
Transcript_63700.0	Others		
Transcript_245644.0	Tissue Specific	Gonad	Female
Transcript_149201.0	Tissue Specific	Brain	
Transcript_165912.0	Tissue Specific	Gonad	Female
Transcript_173789.0	Others		
Transcript_17381.0	Others		
Transcript_17388.0	Tissue Specific	Gonad	
Transcript_210258.0	Others		
Transcript_173896.0	Others		
Transcript_173903.0	Others		
Transcript_73946.0	Tissue Specific	Kidney	
Transcript_223717.0	Others		
Transcript_173925.0	Others		
Transcript_17558.0	Others		
Transcript_235685.0	Others		
Transcript_151370.0	Tissue Specific	Lung	Male
Transcript_173948.0	Tissue Specific	Gonad	Female
Transcript_228923.0	Tissue Specific	Skin	
Transcript_188291.0	Others		
Transcript_34866.0	Others		
Transcript_5820.0	Others		
Transcript_16700.0	Others		
Transcript_174068.0	Others		
Transcript_19126.0	Others		
Transcript_88895.0	Others		
Transcript_161139.0	Others		
Transcript_264836.0	Others		
Transcript_73211.0	Tissue Specific	Muscle	
Transcript_82410.0	Others		
Transcript_245829.0	Tissue Specific	Brain	
Transcript_243683.0	Tissue Specific	Brain	
Transcript_174139.0	Others		
Transcript_61610.0	Others		
Transcript_187397.0	Expressed in All		
Transcript_252686.0	Others		
Transcript_48343.0	Tissue Specific	Skin	
Transcript_244253.0	Others		
Transcript_41717.0	Others		
Transcript_206955.0	Others		
Transcript_12063.0	Others		
Transcript_204921.0	Others		
Transcript_60346.0	Others		
Transcript_165115.0	Tissue Specific	Brain	Female
Transcript_174226.0	Tissue Specific	Lung	Male
Transcript_272016.0	Others		
Transcript_174230.0	Others		
Transcript_17425.0	Others		
Transcript_101680.0	Others		
Transcript_157206.0	Others		
Transcript_93370.0	Others		
Transcript_41731.0	Others		
Transcript_244012.0	Others		
Transcript_17429.0	Others		
Transcript_100717.0	Tissue Specific	Liver	
Transcript_93809.0	Others		
Transcript_273837.0	Others		
Transcript_168725.0	Tissue Specific	Gonad	Female
Transcript_174332.0	Others		
Transcript_101750.0	Tissue Specific	Brain	
Transcript_98061.0	Others		
Transcript_174336.0	Others		
Transcript_52276.0	Others		
Transcript_271239.0	Others		
Transcript_51122.0	Tissue Specific	Lung	Female
Transcript_17434.0	Others		
Transcript_75918.0	Others		
Transcript_101146.0	Others		
Transcript_234160.0	Tissue Specific	Brain	Female
Transcript_243165.0	Others		
Transcript_86290.0	Others		
Transcript_179740.0	Others		
Transcript_200076.0	Tissue Specific	Lung	
Transcript_250792.0	Tissue Specific	Brain	
Transcript_56457.0	Not Expressed		
Transcript_17437.0	Others		
Transcript_43286.0	Others		
Transcript_63834.0	Others		
Transcript_136862.0	Others		
Transcript_37131.0	Others		
Transcript_210260.0	Tissue Specific	Brain	
Transcript_259611.0	Others		
Transcript_77378.0	Others		
Transcript_25729.0	Others		
Transcript_73825.0	Others		
Transcript_174526.0	Others		
Transcript_41174.0	Tissue Specific	Gonad	Female
Transcript_174534.0	Others		
Transcript_199892.0	Others		
Transcript_139148.0	Others		
Transcript_174558.0	Tissue Specific	Muscle	
Transcript_143165.0	Others		
Transcript_118809.0	Others		
Transcript_100673.0	Others		
Transcript_256907.0	Tissue Specific	Lung	
Transcript_153115.0	Others		
Transcript_273244.0	Tissue Specific	Skin	
Transcript_86190.0	Others		
Transcript_21214.0	Others		
Transcript_79735.0	Others		
Transcript_96023.0	Others		
Transcript_143942.0	Others		
Transcript_174639.0	Others		
Transcript_257192.0	Tissue Specific	Brain	
Transcript_63545.0	Tissue Specific	Skin	
Transcript_174662.0	Others		
Transcript_17468.0	Others		
Transcript_25363.0	Others		
Transcript_91643.0	Others		
Transcript_192558.0	Others		
Transcript_139934.0	Others		
Transcript_258756.0	Tissue Specific	Brain	
Transcript_262497.0	Others		
Transcript_54463.0	Others		
Transcript_85488.0	Others		
Transcript_243377.0	Others		
Transcript_168803.0	Others		
Transcript_174714.0	Others		
Transcript_68899.0	Tissue Specific	Brain	
Transcript_101356.0	Others		
Transcript_249845.0	Others		
Transcript_102648.0	Tissue Specific	Gonad	
Transcript_106147.0	Others		
Transcript_100643.0	Others		
Transcript_174860.0	Others		
Transcript_60820.0	Tissue Specific	Skin	
Transcript_46446.0	Tissue Specific	Gonad	
Transcript_17487.0	Others		
Transcript_124517.0	Others		
Transcript_38908.0	Others		
Transcript_80667.0	Others		
Transcript_174870.0	Tissue Specific	Heart	
Transcript_68236.0	Others		
Transcript_102614.0	Others		
Transcript_244385.0	Others		
Transcript_41764.0	Tissue Specific	Gonad	Female
Transcript_174899.0	Others		
Transcript_36725.0	Others		
Transcript_174904.0	Others		
Transcript_65318.0	Others		
Transcript_174944.0	Tissue Specific	Brain	Female
Transcript_45803.0	Tissue Specific	Brain	
Transcript_63221.0	Others		
Transcript_273571.0	Others		
Transcript_170218.0	Others		
Transcript_17495.0	Others		
Transcript_255572.0	Tissue Specific	Gonad	
Transcript_269723.0	Tissue Specific	Gonad	Female
Transcript_259229.0	Others		
Transcript_90617.0	Others		
Transcript_182808.0	Others		
Transcript_154044.0	Not Expressed		
Transcript_53491.0	Others		
Transcript_81054.0	Tissue Specific	Lung	
Transcript_94866.0	Others		
Transcript_264694.0	Others		
Transcript_241742.0	Tissue Specific	Gonad	Female
Transcript_204301.0	Others		
Transcript_31289.0	Tissue Specific	Skin	
Transcript_57561.0	Others		
Transcript_60138.0	Tissue Specific	Gonad	Female
Transcript_228979.0	Tissue Specific	Skin	
Transcript_38396.0	Tissue Specific	Brain	
Transcript_282720.0	Others		
Transcript_78849.0	Others		
Transcript_86528.0	Others		
Transcript_207392.0	Others		
Transcript_209578.0	Others		
Transcript_26117.0	Others		
Transcript_240609.0	Others		
Transcript_122049.0	Tissue Specific	Brain	
Transcript_35020.0	Tissue Specific	Lung	Male
Transcript_69119.0	Others		
Transcript_142660.0	Others		
Transcript_72646.0	Others		
Transcript_108588.0	Others		
Transcript_74753.0	Others		
Transcript_97034.0	Others		
Transcript_175017.0	Others		
Transcript_224785.0	Others		
Transcript_44447.0	Others		
Transcript_153050.0	Tissue Specific	Gonad	
Transcript_197742.0	Tissue Specific	Skin	
Transcript_203465.0	Others		
Transcript_175116.0	Others		
Transcript_259404.0	Tissue Specific	Kidney	
Transcript_204427.0	Others		
Transcript_259203.0	Others		
Transcript_165729.0	Tissue Specific	Brain	
Transcript_250311.0	Others		
Transcript_60586.0	Tissue Specific	Gonad	
Transcript_82998.0	Others		
Transcript_175299.0	Others		
Transcript_48004.0	Others		
Transcript_17534.0	Others		
Transcript_25252.0	Tissue Specific	Brain	
Transcript_252051.0	Others		
Transcript_262707.0	Tissue Specific	Gonad	Female
Transcript_68322.0	Others		
Transcript_94680.0	Tissue Specific	Gonad	Female
Transcript_175361.0	Others		
Transcript_243826.0	Others		
Transcript_62966.0	Others		
Transcript_82207.0	Others		
Transcript_261150.0	Others		
Transcript_61512.0	Tissue Specific	Kidney	
Transcript_175474.0	Others		
Transcript_99192.0	Tissue Specific	Brain	
Transcript_90845.0	Others		
Transcript_247368.0	Tissue Specific	Brain	
Transcript_20980.0	Others		
Transcript_175491.0	Tissue Specific	Brain	
Transcript_44803.0	Tissue Specific	Skin	
Transcript_26499.0	Others		
Transcript_44453.0	Others		
Transcript_36724.0	Others		
Transcript_235679.0	Others		
Transcript_175499.0	Others		
Transcript_154208.0	Others		
Transcript_70618.0	Others		
Transcript_66443.0	Others		
Transcript_20430.0	Others		
Transcript_235569.0	Others		
Transcript_76987.0	Others		
Transcript_229399.0	Tissue Specific	Brain	Female
Transcript_251506.0	Tissue Specific	Kidney	
Transcript_54534.0	Others		
Transcript_68628.0	Tissue Specific	Lung	
Transcript_203093.0	Others		
Transcript_240762.0	Others		
Transcript_101099.0	Others		
Transcript_212584.0	Others		
Transcript_190463.0	Others		
Transcript_54966.0	Others		
Transcript_183162.0	Tissue Specific	Kidney	
Transcript_50334.0	Others		
Transcript_23990.0	Others		
Transcript_221170.0	Others		
Transcript_255707.0	Others		
Transcript_120154.0	Others		
Transcript_89286.0	Tissue Specific	Skin	
Transcript_17574.0	Others		
Transcript_261669.0	Tissue Specific	Gonad	Female
Transcript_189543.0	Others		
Transcript_25494.0	Others		
Transcript_263939.0	Tissue Specific	Skin	
Transcript_207314.0	Tissue Specific	Skin	
Transcript_237435.0	Tissue Specific	Brain	
Transcript_202511.0	Others		
Transcript_233813.0	Others		
Transcript_175774.0	Others		
Transcript_48998.0	Tissue Specific	Gonad	
Transcript_175795.0	Others		
Transcript_91661.0	Tissue Specific	Brain	
Transcript_175800.0	Others		
Transcript_68274.0	Others		
Transcript_57896.0	Others		
Transcript_17349.0	Others		
Transcript_170113.0	Others		
Transcript_46847.0	Tissue Specific	Lung	
Transcript_79187.0	Tissue Specific	Skin	
Transcript_129482.0	Tissue Specific	Skin	
Transcript_265056.0	Tissue Specific	Gonad	Female
Transcript_100339.0	Others		
Transcript_195957.0	Others		
Transcript_175828.0	Others		
Transcript_151889.0	Tissue Specific	Muscle	
Transcript_46298.0	Others		
Transcript_268463.0	Others		
Transcript_241910.0	Others		
Transcript_194814.0	Others		
Transcript_77566.0	Tissue Specific	Skin	
Transcript_125599.0	Others		
Transcript_175887.0	Tissue Specific	Brain	
Transcript_130209.0	Tissue Specific	Gonad	
Transcript_76936.0	Tissue Specific	Brain	
Transcript_78822.0	Others		
Transcript_197124.0	Tissue Specific	Brain	
Transcript_175923.0	Others		
Transcript_238225.0	Tissue Specific	Brain	
Transcript_53758.0	Others		
Transcript_114634.0	Others		
Transcript_34132.0	Others		
Transcript_175958.0	Others		
Transcript_260291.0	Others		
Transcript_261837.0	Others		
Transcript_58737.0	Tissue Specific	Muscle	
Transcript_21204.0	Others		
Transcript_144173.0	Tissue Specific	Gonad	Male
Transcript_84479.0	Others		
Transcript_1761.0	Tissue Specific	Heart	
Transcript_274311.0	Tissue Specific	Brain	
Transcript_176141.0	Tissue Specific	Brain	Female
Transcript_262293.0	Tissue Specific	Gonad	Female
Transcript_255624.0	Others		
Transcript_59622.0	Tissue Specific	Brain	
Transcript_248198.0	Others		
Transcript_52429.0	Others		
Transcript_253533.0	Others		
Transcript_143606.0	Others		
Transcript_176175.0	Others		
Transcript_258231.0	Others		
Transcript_57756.0	Tissue Specific	Brain	Female
Transcript_166934.0	Others		
Transcript_41112.0	Tissue Specific	Brain	Male
Transcript_176178.0	Others		
Transcript_224648.0	Others		
Transcript_269710.0	Tissue Specific	Brain	
Transcript_52749.0	Tissue Specific	Gonad	Female
Transcript_197907.0	Others		
Transcript_176241.0	Tissue Specific	Brain	
Transcript_182906.0	Tissue Specific	Muscle	
Transcript_17640.0	Others		
Transcript_100116.0	Others		
Transcript_61442.0	Others		
Transcript_139174.0	Tissue Specific	Skin	
Transcript_240785.0	Others		
Transcript_28996.0	Others		
Transcript_24871.0	Others		
Transcript_36588.0	Not Expressed		
Transcript_71154.0	Not Expressed		
Transcript_84641.0	Others		
Transcript_176408.0	Others		
Transcript_59840.0	Others		
Transcript_176475.0	Others		
Transcript_54277.0	Others		
Transcript_196713.0	Tissue Specific	Brain	
Transcript_62438.0	Tissue Specific	Gonad	Female
Transcript_176483.0	Tissue Specific	Brain	
Transcript_142183.0	Others		
Transcript_144611.0	Others		
Transcript_90834.0	Others		
Transcript_242884.0	Tissue Specific	Skin	
Transcript_101302.0	Others		
Transcript_176484.0	Tissue Specific	Kidney	Male
Transcript_67461.0	Tissue Specific	Skin	
Transcript_19653.0	Others		
Transcript_189847.0	Others		
Transcript_51987.0	Tissue Specific	Skin	
Transcript_96394.0	Tissue Specific	Brain	Male
Transcript_39820.0	Tissue Specific	Brain	
Transcript_36510.0	Others		
Transcript_83137.0	Others		
Transcript_176505.0	Tissue Specific	Skin	
Transcript_74842.0	Tissue Specific	Muscle	
Transcript_101872.0	Others		
Transcript_54810.0	Others		
Transcript_21190.0	Tissue Specific	Brain	
Transcript_52076.0	Tissue Specific	Brain	Female
Transcript_268551.0	Others		
Transcript_252325.0	Others		
Transcript_195353.0	Others		
Transcript_42632.0	Others		
Transcript_54364.0	Others		
Transcript_209656.0	Others		
Transcript_17654.0	Others		
Transcript_209734.0	Others		
Transcript_30228.0	Others		
Transcript_80482.0	Others		
Transcript_176587.0	Others		
Transcript_238584.0	Others		
Transcript_246773.0	Others		
Transcript_241592.0	Tissue Specific	Gonad	Female
Transcript_238994.0	Others		
Transcript_79060.0	Others		
Transcript_17661.0	Others		
Transcript_223605.0	Tissue Specific	Lung	
Transcript_59847.0	Others		
Transcript_229559.0	Tissue Specific	Brain	
Transcript_41461.0	Others		
Transcript_67491.0	Others		
Transcript_17663.0	Others		
Transcript_17664.0	Tissue Specific	Brain	
Transcript_84316.0	Others		
Transcript_151618.0	Others		
Transcript_107698.0	Others		
Transcript_151212.0	Tissue Specific	Gonad	Male
Transcript_259349.0	Others		
Transcript_253694.0	Others		
Transcript_196198.0	Others		
Transcript_155227.0	Others		
Transcript_38762.0	Others		
Transcript_17687.0	Others		
Transcript_176875.0	Others		
Transcript_205548.0	Tissue Specific	Gonad	
Transcript_233740.0	Others		
Transcript_57127.0	Others		
Transcript_263209.0	Others		
Transcript_176916.0	Others		
Transcript_176932.0	Tissue Specific	Gonad	Female
Transcript_176943.0	Others		
Transcript_49731.0	Others		
Transcript_176946.0	Tissue Specific	Brain	
Transcript_27912.0	Others		
Transcript_177001.0	Others		
Transcript_177018.0	Tissue Specific	Gonad	Female
Transcript_15255.0	Others		
Transcript_217128.0	Others		
Transcript_242041.0	Others		
Transcript_227405.0	Tissue Specific	Skin	
Transcript_177193.0	Others		
Transcript_32197.0	Others		
Transcript_235400.0	Others		
Transcript_16514.0	Expressed in All		
Transcript_45618.0	Tissue Specific	Skin	
Transcript_50860.0	Others		
Transcript_144224.0	Others		
Transcript_177196.0	Tissue Specific	Gonad	Female
Transcript_272498.0	Others		
Transcript_50231.0	Others		
Transcript_177298.0	Others		
Transcript_37056.0	Tissue Specific	Brain	
Transcript_50352.0	Others		
Transcript_166209.0	Others		
Transcript_49260.0	Others		
Transcript_17730.0	Others		
Transcript_142485.0	Tissue Specific	Lung	
Transcript_38244.0	Tissue Specific	Brain	
Transcript_147695.0	Tissue Specific	Lung	
Transcript_177330.0	Tissue Specific	Brain	Male
Transcript_240760.0	Tissue Specific	Skin	
Transcript_166888.0	Others		
Transcript_68025.0	Tissue Specific	Brain	
Transcript_180150.0	Tissue Specific	Brain	
Transcript_203468.0	Others		
Transcript_194558.0	Tissue Specific	Gonad	
Transcript_199895.0	Others		
Transcript_16037.0	Others		
Transcript_60940.0	Others		
Transcript_22268.0	Others		
Transcript_124746.0	Others		
Transcript_145960.0	Tissue Specific	Kidney	
Transcript_98037.0	Tissue Specific	Brain	
Transcript_177489.0	Others		
Transcript_262792.0	Others		
Transcript_84815.0	Tissue Specific	Skin	
Transcript_177500.0	Tissue Specific	Gonad	Female
Transcript_41348.0	Others		
Transcript_68162.0	Others		
Transcript_237528.0	Others		
Transcript_177515.0	Tissue Specific	Gonad	Female
Transcript_42622.0	Others		
Transcript_13984.0	Others		
Transcript_37824.0	Others		
Transcript_22443.0	Others		
Transcript_60202.0	Tissue Specific	Brain	Male
Transcript_178962.0	Others		
Transcript_177518.0	Others		
Transcript_177530.0	Others		
Transcript_93039.0	Tissue Specific	Brain	
Transcript_199432.0	Others		
Transcript_177558.0	Others		
Transcript_37457.0	Others		
Transcript_47524.0	Others		
Transcript_74229.0	Others		
Transcript_177573.0	Tissue Specific	Skin	
Transcript_252849.0	Others		
Transcript_248806.0	Others		
Transcript_29146.0	Tissue Specific	Brain	Male
Transcript_249095.0	Others		
Transcript_158627.0	Tissue Specific	Brain	Male
Transcript_60301.0	Others		
Transcript_18634.0	Tissue Specific	Liver	
Transcript_29685.0	Others		
Transcript_177576.0	Others		
Transcript_244945.0	Others		
Transcript_252369.0	Others		
Transcript_55955.0	Tissue Specific	Gonad	Female
Transcript_261544.0	Others		
Transcript_236210.0	Tissue Specific	Muscle	
Transcript_90518.0	Tissue Specific	Gonad	Female
Transcript_196445.0	Tissue Specific	Brain	
Transcript_177615.0	Tissue Specific	Skin	
Transcript_146369.0	Tissue Specific	Brain	
Transcript_69261.0	Others		
Transcript_84288.0	Tissue Specific	Muscle	
Transcript_160200.0	Others		
Transcript_116960.0	Others		
Transcript_274247.0	Others		
Transcript_50503.0	Tissue Specific	Kidney	Male
Transcript_17765.0	Others		
Transcript_206636.0	Tissue Specific	Brain	
Transcript_17459.0	Others		
Transcript_72300.0	Tissue Specific	Gonad	Female
Transcript_189245.0	Others		
Transcript_274286.0	Others		
Transcript_272940.0	Others		
Transcript_143345.0	Others		
Transcript_264222.0	Others		
Transcript_146378.0	Tissue Specific	Gonad	
Transcript_18449.0	Others		
Transcript_72981.0	Others		
Transcript_261788.0	Others		
Transcript_103831.0	Others		
Transcript_270195.0	Others		
Transcript_86498.0	Others		
Transcript_87758.0	Others		
Transcript_177712.0	Others		
Transcript_86125.0	Tissue Specific	Liver	
Transcript_177730.0	Tissue Specific	Gonad	
Transcript_192781.0	Others		
Transcript_41402.0	Tissue Specific	Liver	
Transcript_89478.0	Others		
Transcript_239692.0	Others		
Transcript_177852.0	Others		
Transcript_177863.0	Tissue Specific	Skin	
Transcript_27584.0	Others		
Transcript_200819.0	Tissue Specific	Brain	
Transcript_252155.0	Tissue Specific	Gonad	Female
Transcript_246625.0	Others		
Transcript_49140.0	Others		
Transcript_96041.0	Others		
Transcript_177879.0	Others		
Transcript_177891.0	Others		
Transcript_228560.0	Tissue Specific	Skin	
Transcript_177932.0	Others		
Transcript_25101.0	Others		
Transcript_220728.0	Others		
Transcript_166505.0	Others		
Transcript_177964.0	Others		
Transcript_269769.0	Others		
Transcript_17798.0	Others		
Transcript_29420.0	Others		
Transcript_177989.0	Tissue Specific	Gonad	Female
Transcript_27580.0	Others		
Transcript_185313.0	Tissue Specific	Lung	
Transcript_65987.0	Tissue Specific	Skin	
Transcript_258782.0	Tissue Specific	Brain	
Transcript_17804.0	Others		
Transcript_203671.0	Tissue Specific	Liver	
Transcript_196723.0	Tissue Specific	Lung	
Transcript_207964.0	Others		
Transcript_178087.0	Others		
Transcript_27930.0	Others		
Transcript_92916.0	Tissue Specific	Gonad	Female
Transcript_178122.0	Tissue Specific	Skin	
Transcript_271450.0	Others		
Transcript_59460.0	Tissue Specific	Gonad	
Transcript_15352.0	Others		
Transcript_17821.0	Others		
Transcript_178242.0	Others		
Transcript_254266.0	Others		
Transcript_222881.0	Others		
Transcript_187190.0	Others		
Transcript_261344.0	Tissue Specific	Brain	
Transcript_100089.0	Others		
Transcript_69667.0	Others		
Transcript_231690.0	Others		
Transcript_88721.0	Others		
Transcript_17830.0	Others		
Transcript_17834.0	Others		
Transcript_178381.0	Tissue Specific	Brain	
Transcript_152279.0	Others		
Transcript_269483.0	Others		
Transcript_178577.0	Others		
Transcript_55367.0	Others		
Transcript_178618.0	Others		
Transcript_236517.0	Others		
Transcript_234540.0	Others		
Transcript_227563.0	Others		
Transcript_26380.0	Others		
Transcript_16838.0	Tissue Specific	Brain	
Transcript_28337.0	Others		
Transcript_60584.0	Others		
Transcript_192439.0	Others		
Transcript_262969.0	Others		
Transcript_251765.0	Others		
Transcript_178652.0	Others		
Transcript_102595.0	Others		
Transcript_52820.0	Others		
Transcript_87843.0	Others		
Transcript_260557.0	Others		
Transcript_82724.0	Others		
Transcript_178730.0	Tissue Specific	Kidney	
Transcript_66515.0	Others		
Transcript_263373.0	Others		
Transcript_47727.0	Others		
Transcript_230869.0	Others		
Transcript_96567.0	Others		
Transcript_178795.0	Tissue Specific	Heart	
Transcript_60720.0	Others		
